GRID*,X,Y,Z
172,-8.656452728E-2,-1.774815308E-2,1.163476747E-2
173,1.299531789E-3,-1.441918154E-4,9.869249315E-2
174,7.155431891E-4,2.424764281E-4,9.924448900E-2
175,1.480769079E-3,5.017888545E-4,9.843652019E-2
176,-8.176807144E-2,-3.350219119E-2,1.163476747E-2
177,-7.413171124E-2,-4.809265754E-2,1.163476747E-2
178,-6.392066675E-2,-6.101280753E-2,1.163476747E-2
179,-5.148957993E-2,-7.181390868E-2,1.163476747E-2
180,-2.175637590E-2,-8.564504906E-2,1.163476747E-2
181,-5.486928956E-3,-8.819471601E-2,1.163476747E-2
182,2.705199176E-2,-8.412255383E-2,1.163476747E-2
183,5.586535012E-2,-6.846515155E-2,1.163476747E-2
184,7.697769596E-2,-4.290035869E-2,1.187505205E-2
185,8.780205239E-2,-1.215160003E-2,1.136105942E-2
186,6.982692061E-2,2.366227861E-2,2.627278474E-2
187,6.906177739E-2,3.946159053E-2,2.045915375E-2
188,0.000000000E+0,0.000000000E+0,1.000000000E-1
189,1.169951168E-4,5.565328140E-4,9.943130269E-2
190,8.013132422E-4,9.335144133E-4,9.876973496E-2
191,1.557539497E-3,1.217908127E-3,9.802282285E-2
192,2.316730870E-3,1.927499476E-3,9.698628200E-2
193,3.735491037E-3,2.667035504E-3,9.541012291E-2
194,7.617349446E-3,2.581294482E-3,9.195717128E-2
195,5.411341781E-3,3.911456985E-3,9.332301598E-2
196,1.053637704E-2,3.570466618E-3,8.887509672E-2
197,7.613703569E-3,5.495319224E-3,9.061027075E-2
198,1.436944791E-2,4.869380991E-3,8.482792353E-2
199,1.051778473E-2,7.566316071E-3,8.704342119E-2
200,1.936939891E-2,6.563716536E-3,7.954869225E-2
201,1.429363386E-2,1.026043838E-2,8.240498466E-2
202,1.914955325E-2,1.386780210E-2,7.635636819E-2
203,2.554771575E-2,1.841776267E-2,6.850555983E-2
204,4.510960396E-2,1.528631089E-2,5.237072676E-2
205,3.379323699E-2,2.438593668E-2,5.832678589E-2
206,5.738870828E-2,1.944733625E-2,3.940575336E-2
207,4.434476386E-2,3.106674402E-2,4.585574208E-2
208,5.709340198E-2,3.607588968E-2,3.246388843E-2
209,6.915965863E-3,2.267414869E-4,9.308031825E-2
210,9.607110276E-3,3.222566086E-4,9.038748643E-2
211,1.316507027E-2,4.557775264E-4,8.682704254E-2
212,1.778977062E-2,6.294425641E-4,8.219909731E-2
213,-7.371520490E-2,1.995431426E-2,2.363177302E-2
214,2.382256711E-2,7.727700917E-4,7.616490241E-2
215,-7.613766418E-2,5.929771013E-3,2.363177302E-2
216,-3.575092821E-4,-5.350979528E-5,9.963850839E-2
217,1.001309307E-3,-7.189611781E-4,9.876730965E-2
218,4.182661059E-4,-3.823201828E-4,9.943332967E-2
219,2.660341574E-3,-8.233763259E-4,9.721515425E-2
220,1.797340373E-3,-1.506806778E-3,9.765460044E-2
